FACILITY ID,WDID,FACILITY NAME,PROGRAM CATEGORY,Reclassification,COMMUNITY TYPE,FEDERAL FACILITY,GW ASSESSMENT,NPDES ASSESSMENT,WDR ASSESSMENT,CS ASSESSMENT
267130,#N/A,Terminal Island Water Reclamation Plant,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
206730,#N/A,Thunder Valley Casino WWTP,NPDESWW,RT,TRANSIENT,FALSE,No,Yes,No,No
266223,#N/A,Tracy WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
266328,#N/A,Treasure Island WWTP/DOD,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
266737,#N/A,"Turlock City, Turlock Regional Water Quality Control Facility",NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
268926,#N/A,UC Davis Main WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
269449,#N/A,US Navy Naval Air Facility WWTP,NPDESWW,Federal: Residential or mixed,COMMUNITY,TRUE,No,Yes,No,No
268960,#N/A,Ukiah City WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
270849,#N/A,Valencia WRP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
269989,#N/A,Vallecitos WD Meadowlark WRP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
270006,#N/A,Vallejo Flood & Wastewater District (VFWD) Wastewater Treatment Plant,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
270096,#N/A,Valley SD WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
271054,#N/A,Ventura WRF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
270419,#N/A,Victor Valley Wastewater Reclamation Authority WTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
259205,#N/A,WRCRWA Regional WWRF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
271872,#N/A,Watsonville WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
215234,#N/A,West County Agency Outfall,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
272082,#N/A,West County WW District WPCP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
272291,#N/A,Westmorland City WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
272444,#N/A,White Slough Water Pollution Control Facility,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
235826,#N/A,Whittier Narrows Water Reclamation Plant,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
272631,#N/A,Williams WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
272646,#N/A,Willits City WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
272704,#N/A,Willows Wastewater Treatment Plant,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
272790,#N/A,"Windsor Wastewater Treatment, Reclamation, and Disposal Facility",NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
272960,#N/A,Woodland Water Pollution Control Facility,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
274410,#N/A,Yountville / CA Vets Home WWTP,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
274556,#N/A,Yuba City WWTF,NPDESWW,i,COMMUNITY,FALSE,No,Yes,No,No
710619,7SSO11515,13-10013 CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
645252,9SSO11438,22nd District Agricultural Association CS,SSO,NR,n/a,FALSE,Yes,No,No,No
631940,9SSO10644,4-S Ranch CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
655350,5SSO11500,6-Mile Village CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630794,6SSO11123,Adelanto CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631691,5SSO10781,Adin CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
643369,4SSO11366,Agoura Hills CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
770699,2SSO11610,Airport Industrial Wastewater CS,SSO,NR,n/a,FALSE,Yes,No,No,No
630863,2SSO10087,Alameda City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631155,7SSO10506,Alan Horton CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630877,2SSO10088,Albany City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631880,4SSO10362,Alhambra City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630882,2SSO10089,Almonte sd CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631693,5SSO10782,Alpine Meadows/Whispering Wood CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630724,6SSO11101,Alpine Springs County Water Di CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630887,2SSO10090,Alto Sanitary District CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631694,5SSO10783,Alturas Municipal CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631418,5SSO10863,Amador City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630892,2SSO10091,"American Canyon, Public Works CS",SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
256399,8SSO10542,Anaheim City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631698,5SSO10784,Anderson CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630896,2SSO10092,Angel Island State Park CS,SSO,RE,TRANSIENT,FALSE,Yes,No,No,No
631422,5SSO10865,Angels Camp CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
645071,2SSO11410,Anthony Chabot Regional Park CS,SSO,RE,TRANSIENT,FALSE,Yes,No,No,No
631425,5SSO10867,Arbuckle CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631881,4SSO10363,Arcadia City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630338,1SSO10001,Arcata City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
654736,5SSO11217,Armona CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631426,5SSO10868,Arnold CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
648950,6SSO11493,Arrowbear Park CWD CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
778545,8SSO11753,Arrowhead Regional Med Center CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631931,3SSO10255,Arroyo Grande City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631908,4SSO10364,Artesia City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631405,5SSO11218,Arvin CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
755930,5SSO11677,Ash Mountain CS,SSO,Federal: Collection System,COMMUNITY,TRUE,Yes,No,No,Yes
631686,3SSO10222,Atascadero Collection System,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631421,5SSO10716,Atwater CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631428,5SSO10869,Auburn Lk Trls Onsite WW Disp CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631429,5SSO10870,Auburn Valley Community Services Dist,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631813,4SSO10349,Avalon CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631096,5SSO11177,Avenal State Prison CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631688,3SSO10223,Avila Beach CSD CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631601,8SSO10608,BBARWWA CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631701,5SSO10785,Bailey Creek CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631913,4SSO10366,Baldwin Park City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631157,7SSO10507,Banning STP-Non Npdes CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630800,6SSO11126,Barstow CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
630805,#N/A,Barstow/Daggett Airport CS,SSO,NR,n/a,FALSE,Yes,No,No,No
630901,2SSO10093,Bayshore SD CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631699,3SSO10226,Bear Creek Estates CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631442,5SSO10873,Bear Valley CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631430,5SSO10718,Bear Valley Csd CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631243,8SSO10543,Beaumont City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631704,5SSO10786,Beckwourth CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631918,4SSO10368,Bell Gardens City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
631921,4SSO10369,Bellflower City CS,SSO,i,COMMUNITY,FALSE,Yes,No,No,Yes
