"Region","Wdid","Status","Last.Updated.On","CS.Type","SSOq.Population.Served","SSOq.Annual.O.M.Budget","SSOq.Annual.Cap.Exp.Budget","SSOq.Entry.Individuals","SSOq.Journey.Individuals","SSOq.Super.Individuals","SSOq.Manage.Individuals","SSOq.Grade.I.Maint","SSOq.Grade.I.Plant","SSOq.Grade.II.Maint","SSOq.Grade.II.Ei","SSOq.Grade.II.Mechanical","SSOq.Grade.III.Maint","SSOq.Grade.III.Ei","SSOq.Grade.III.Mechanical","SSOq.Grade.IV.Maint","SSOq.Grade.IV.Ei","SSOq.Grade.IV.Mechanical","SSOQ_CSU_I","SSOQ_CSU_II","SSOQ_PIPE_6_GRAVITY","SSOQ_PIPE_6_FORCE","SSOQ_PIPE_8_GRAVITY","SSOQ_PIPE_8_FORCE","SSOQ_PIPE_9_18_GRAVITY","SSOQ_PIPE_9_18_FORCE","SSOQ_PIPE_19_36_GRAVITY","SSOQ_PIPE_19_36_FORCE","SSOQ_PIPE_36_GRAVITY","SSOQ_PIPE_36_FORCE","SSOQ_PIPE_UNKNOWN_GRAVITY","SSOQ_PIPE_UNKNOWN_FORCE","SSOQ_PIPE_TOTAL_GRAVITY","SSOQ_PIPE_TOTAL_FORCE","SSOQ_MILES_OF_FORCE_MAIN","SSOQ_MILES_OF_GRAVITY_SEWER","SSOQ_MILES_OF_LATERALS","SSOQ_PORTION_OF_LTERL_RESPSBLE","SSOQ_MILES_OF_LTERL_RESPSBLE","SSOQ_NO_SERVICE_LATERAL","SSOQ_UNKNOWN_GRAVITY","SSOQ_UNKNOWN_OVER","SSOQ_UNKNOWN_UNDER","SSOQ_CONSTRUCTED_BEFORE_1900","SSOQ_BEFORE_1900_OVER","SSOQ_BEFORE_1900_UNDER","SSOQ_CONSTRUCTED_1900_1919","SSOQ_1900_1919_OVER","SSOQ_1900_1919_UNDER","SSOQ_CONSTRUCTED_1920_1939","SSOQ_1920_1939_OVER","SSOQ_1920_1939_UNDER","SSOQ_CONSTRUCTED_1940_1959","SSOQ_1940_1959_OVER","SSOQ_1940_1959_UNDER","SSOQ_CONSTRUCTED_1960_1979","SSOQ_1960_1979_OVER","SSOQ_1960_1979_UNDER","SSOQ_CONSTRUCTED_1980_1999","SSOQ_1980_1999_OVER","SSOQ_1980_1999_UNDER","SSOQ_CONSTRUCTED_2000_CURRENT","SSOQ_AFTER_2000_OVER","SSOQ_AFTER_2000_UNDER","SSOQ_TOTAL_GRAVITY","SSOQ_TOTAL_OVER","SSOQ_TOTAL_UNDER","SSOQ_INACCESSIBLE_SEWER_MILES","SSOQ_SEWER_CLEAN_PRODUCTION","SSOQ_GRAVITY_SEWER_INSPECTION","SSOQ_SSF_AVERAGE_DRY","SSOQ_SSF_PEAK_WET","SSOQ_TO_TYPE_1","SSOQ_TO_NAME_1","SSOQ_TO_WDID_1","SSOQ_26_COUNT","SSOQ_TRIBUTARY_SSS","SSOQ_TRIBUTARY_1","SSOQ_TRIBUTARY_NAME_1","SSOQ_TRIBUTARY_WDID_1","SSOQ_27B_COUNT","SSOQ_GRAVITY_AERIAL_CROSS","SSOQ_FORCE_AERIAL_CROSS","SSOQ_SIPHONS_CONVEY_SEWAGE","X"
"2","2SSO11508","Active","06/16/2023","Other","120","20,000","20,000","1",3,"1","1","1","0","1","0","0","0","0","0","0","0","0",1,1,"100","0","0","0","0","0","0","0","0","0","0","0",100,0,"1","1","1","upperLower","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0",0,100,0,0,"0","0.5","0.5",".006",".010","WWTP same agency","Marconi Conference Center","2SS011508",4,"No"," "," "," ",0,0,0,0,NA
"2","2SSO11509","Active","03/28/2023","Municipal (Public)","650","255,085","69,725","1",2,"1","1","3","0","0","0","0","0","0","0","0","0","0",0,0,"100","100","0","0","0","0","0","0","0","0","0","0",100,100,"1","3","1.5","none","0","164","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","75","0","1","0","0","0","0","0",0,100,0,1,"0.3","0.6","1","0.022","0.080","WWTP same agency","Bolinas Wastewater Treatment Facility","2SSO11509",1,"No"," "," "," ",0,0,0,0,NA
"2","2SSO11511","Active","08/14/2022","Park (w/Campground)","300","40,000","40,000","0",1,"1","1","0","0","0","0","0","0","0","0","0","0","0",0,0,"100","100","0","0","0","0","0","0","0","0","0","0",100,100,"2.5","2.5","0.5","upperLower","0.5","17","0","0","0","0","00","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0",2,100,0,2,"1.5","1","1.5",".015",".025","WWTP same agency","Samuel P Taylor state Park WWTP","2SSO11511",4,"No","No"," "," ",5,0,1,0,NA
"2","2SSO11533","Active","04/14/2023","Other","1,904","203,000","115,000","1",5,"1","2","0","0","0","0","0","0","0","0","0","0","0",0,0,"80","0","16","0","4","0","0","0","0","0","0","0",100,0,"0.1","9","9","upperLower","9","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90","0","8","5","0","2","5","0",4,100,0,14,"0","7","0.5","0.043331","0.039196","SSS other agency","West Bay Sanitary District","2SSO10215",2,"No"," "," "," ",0,0,0,0,NA
"2","2SSO11539","Active","07/08/2022","Municipal (Public)","750","10,000","25,000","0",2,"1","1","0","0","0","0","0","0","0","0","0","0","0",0,0,"75","0","25","0","0","0","0","0","0","0","0","0",100,0,"0","2.4","0,015","upperLower","0,015","10","0","0","0","0","0","0","0","0","0","0","0","0","44","0","0","0","0","0","0","0","0","56","0",0,100,0,0,"0.1","0","0",".023",".61","SSS other agency","Crystal Springs CSD","2sso10225",1,"No"," "," "," ",0,0,0,0,NA
"2","2SSO11605","Active","02/15/2023","Other","1,670","25,000","50,000","0",1,"1","0.1","0","0","0","0","0","0","0","0","0","0","0",0,0,"80","100","20","0","0","0","0","0","0","0","0","0",100,100,"0.1","3.6","0.3","upperLower","0.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","15","0","0","81","0",1,100,0,1,"0","3.8","0","0.016","0.044","WWTP other agency","Livermore Water Reclamation Plant","unk.",1,"No"," "," "," ",0,0,1,0,NA
"2","2SSO11607","Active","03/20/2023","Municipal (Public)","190","297,951","31,000","0",0,"0","3","0","0","0","0","0","0","0","0","0","0","0",0,0,"95","0","5","0","0","0","0","0","0","0","0","0",100,0,"0","1.4","0.6","none","0","86","0","0","0","0","0","0","35","0","0","10","0","0","10","0","0","10","0","0","10","0","0","25","0",0,100,0,0,"0.1","1.284","0",".011","0.102","SSS same agency","Port Costa Treatment Plant","2SSO11607",1,"No"," "," "," ",0,1,0,0,NA
"2","2SSO11610","Active","10/25/2022","Airport","11,000","7,643,408","4,309,204","2",11,"5","1","0","0","0","0","1","0","0","1","0","0","0",0,0,"35","40","28","14","35","20","1","22","0","4","1","0",100,100,"8","4","0","upperLower","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0","0","60","0","16","6","0",4,100,0,20,"0","0","0","0.45","1.2","WWTP same agency","Mel Leong treatment Plant","2SSO11610",1,"Yes","No","United States Coast Guard",NA,1,0,0,0,NA
"2","2SSO11651","Active","07/03/2023","Other","270","259,930",NA,"1",3,"0","1","2","0","0","0","0","1","0","0","0","0","0",0,0,"100","100","0","0","0","0","0","0","0","0","0","0",100,100,"1.6","0.7","0.5","lower","0.5","139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100","0","0","0","0",0,100,0,0,"0",NA,NA,"0.0","0.0","SSS same agency","NRRD","2283078001",1,"No"," "," "," ",0,0,0,0,NA
"2","2SSO11680","Active","05/05/2022","Municipal (Public)","210","190,000","16,500","0",0,"0","2","0","0","0","0","0","0","0","0","0","0","0",0,0,"22","100","78","0","0","0","0","0","0","0","0","0",100,100,"1.1","2.2","0.4","none","0","112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60","0","0","0","0","0","40","0",1,100,0,1,"0.7","0","1.7",".018",".122","WWTP same agency","Tomales WWTP","2 215072001",1,"No"," "," "," ",0,2,2,0,NA
